key,value
metadata.hostname,LT-ENG-207
metadata.fqdn,lt-eng-207.corp.acme.local
metadata.os_caption,Microsoft Windows 11 Enterprise
metadata.os_version,10.0.19045
metadata.os_build,22H2
metadata.is_server,false
metadata.domain,corp.acme.local
metadata.domain_joined,true
metadata.manufacturer,Dell Inc.
metadata.model,Latitude 7430
metadata.serial_number,SN-7472863
metadata.collected_utc,2026-08-08T09:14:22Z
metadata.collector_version,1.0.0
metadata.collected_elevated,true
metadata.collected_by,CORP\svc-audit
identity.mfa_enabled,true
identity.mfa_providers,WindowsHelloForBusiness
identity.mfa_coverage_pct,80
identity.local_user_count,3
identity.local_admin_count,4
identity.guest_account_enabled,false
identity.default_admin_renamed,false
identity.password_min_length,12
identity.password_max_age_days,365
identity.password_history_size,10
identity.lockout_threshold,15
identity.lockout_duration_min,10
identity.password_complexity_enabled,true
identity.accounts_password_never_expires,1
identity.inactive_accounts_90d,1
identity.blank_password_accounts,0
identity.laps_enabled,false
identity.credential_guard_enabled,true
identity.standard_users_cannot_install,false
identity.logon_banner_configured,true
encryption.disk_encryption_enabled,true
encryption.disk_encryption_type,XtsAes128
encryption.encryption_percentage,100
encryption.key_protector_present,true
encryption.key_protector_types,Tpm
encryption.recovery_key_escrowed,false
encryption.unencrypted_volumes,D:
encryption.unencrypted_volume_count,1
encryption.removable_drive_encryption_required,false
encryption.tls10_enabled,false
encryption.tls11_enabled,true
encryption.tls12_enabled,true
encryption.tls13_enabled,true
encryption.ssl30_enabled,false
encryption.smb_signing_required,true
encryption.smbv1_enabled,false
encryption.fips_mode,false
logging.audit_logon_events,Success and Failure
logging.audit_logoff_events,Success
logging.audit_account_lockout,Failure
logging.audit_object_access,No Auditing
logging.audit_policy_change,Success
logging.audit_privilege_use,No Auditing
logging.audit_account_management,Success
logging.audit_process_creation,Success
logging.logging_level,Standard
logging.security_log_max_size_mb,128
logging.security_log_retention_days,30
logging.security_log_record_count,220145
logging.powershell_scriptblock_logging,true
logging.powershell_module_logging,false
logging.command_line_auditing,false
logging.log_forwarding_enabled,true
logging.siem_agents_detected,MDE.Windows
logging.time_sync_configured,true
logging.ntp_server,time.windows.com
logging.time_offset_seconds,1.2
endpoint_protection.antivirus_enabled,true
endpoint_protection.antivirus_product,Microsoft Defender Antivirus
endpoint_protection.realtime_protection,true
endpoint_protection.behavior_monitoring,true
endpoint_protection.signature_age_days,1
endpoint_protection.last_full_scan_days,14
endpoint_protection.tamper_protection,true
endpoint_protection.cloud_protection_enabled,true
endpoint_protection.network_protection_enabled,false
endpoint_protection.pua_protection_enabled,true
endpoint_protection.asr_rules_enabled,3
endpoint_protection.edr_enabled,true
endpoint_protection.firewall_domain,true
endpoint_protection.firewall_private,true
endpoint_protection.firewall_public,true
endpoint_protection.inbound_default_block,true
endpoint_protection.firewall_rule_count,176
endpoint_protection.secure_boot_enabled,true
endpoint_protection.tpm_present,true
endpoint_protection.tpm_ready,true
endpoint_protection.tpm_version,2.0
endpoint_protection.uac_enabled,true
endpoint_protection.applocker_or_wdac_enabled,false
endpoint_protection.usb_storage_blocked,false
endpoint_protection.screen_lock_timeout_min,15
endpoint_protection.screensaver_password_required,true
patching.auto_update_enabled,true
patching.last_patch_install_days,22
patching.last_patch_kb,KB5040442
patching.installed_patch_count,58
patching.missing_critical_patches,3
patching.pending_updates_total,7
patching.pending_reboot,true
patching.os_supported,true
patching.wsus_server,
network.rdp_enabled,false
network.rdp_nla_required,true
network.rdp_port,3389
network.open_listening_ports,135;445;5040
network.listening_port_count,3
network.risky_ports_open,135;445
network.risky_ports_open_count,2
network.open_shares,
network.open_shares_everyone,0
network.anonymous_share_enumeration,false
network.netbios_enabled,true
network.llmnr_disabled,true
network.ipv6_enabled,true
network.dns_servers,1.1.1.2
network.dns_filtering_enabled,true
network.vpn_configured,true
network.host_firewall_isolation,true
network.wifi_open_networks,1
backup.backup_configured,true
backup.backup_product,OneDrive Known Folder Move
backup.last_backup_days,2
backup.backup_encrypted,true
backup.offsite_or_immutable,false
backup.restore_tested_days,
backup.shadow_copies_enabled,true
backup.system_restore_enabled,true
asset.installed_software_count,82
asset.unauthorized_software,Wireshark
asset.unauthorized_software_count,1
asset.asset_tag,ACME-LT-0207
asset.asset_owner,Engineering
asset.data_classification_labels_enabled,true
asset.dlp_enabled,false
asset.mdm_enrolled,true
services.running_service_count,118
services.remote_registry_running,false
services.print_spooler_running,true
services.telnet_installed,false
services.unnecessary_services_running,SSDPSRV
configuration.baseline_drift_count,3
configuration.baseline_drift_items,TLS 1.1 enabled;NetBIOS enabled;Default Administrator not renamed
configuration.baseline_reference,CIS Microsoft Windows 11 Benchmark v3.0
capacity.system_drive_free_gb,96.3
capacity.system_drive_total_gb,512.0
capacity.system_drive_free_pct,18.8
capacity.memory_total_gb,32.0
capacity.memory_free_pct,34.5
capacity.cpu_load_pct,29
hardware.disk_health_ok,true
hardware.disk_count,1
hardware.battery_present,true
hardware.chassis_type,10
data.retention_policy_configured,true
